setup	msprime_seed	slim_burnin_seed	slim_demography_seed	deviating_pop	opt_of_dev_pop	opt_of_p6	opt_of_UK	w	fitness_w_dev_pop	fitness_w_UK	h2	2lm	strong_frac	frac_h2									
296	2374226738	348227072972804	4609154707286507	-1	0	0	0	5	5	5	0.5	1	0.05	0.5									
297	2374226738	348227072972804	3912965492345392	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5									
298	2374226738	348227072972804	3583382160868496	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5									
299	2374226738	348227072972804	1236161494161934	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5									
300	2374226738	348227072972804	8515674059744924	-1	0	0	2	5	5	5	0.5	1	0.05	0.5									
301	2374226738	348227072972804	9.04259119182825E+015	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5									
302	2374226738	348227072972804	4770385003648698	3	1	1	1	5	5	5	0.5	1	0.05	0.5									
303	2374226738	348227072972804	5887022877577692	4	1	1	1	5	5	5	0.5	1	0.05	0.5									
304	2374226738	348227072972804	9.75203815614805E+015	5	1	0	1	5	5	5	0.5	1	0.05	0.5									
305	2374226738	348227072972804	7097605832386762	3	1	0	0	5	5	5	0.5	1	0.05	0.5									
306	2374226738	348227072972804	8168506068177521	4	1	0	0	5	5	5	0.5	1	0.05	0.5									
307	2374226738	348227072972804	6640215541701764	5	1	0	0	5	5	5	0.5	1	0.05	0.5									
308	2374226738	348227072972804	7958657008130103	3	1	0.78	2	5	5	5	0.5	1	0.05	0.5									
309	2374226738	348227072972804	1027324062306434	4	1	0.22	2	5	5	5	0.5	1	0.05	0.5									
310	2374226738	348227072972804	2314256844110787	5	1	0	2	5	5	5	0.5	1	0.05	0.5									
311	1187113369	462982527911663	724376690108329	-1	0	0	0	3	3	3	0.5	1	0	0									
312	1187113369	462982527911663	380990459118038	3	1	0.78	0.42	3	3	3	0.5	1	0	0									
313	1187113369	462982527911663	857186960522085	4	1	0.22	0.12	3	3	3	0.5	1	0	0									
314	1187113369	462982527911663	625076818745583	5	1	0	0.46	3	3	3	0.5	1	0	0									
315	1187113369	462982527911663	94008648535236	-1	0	0	2	3	3	3	0.5	1	0	0									
316	1187113369	462982527911663	539993196260184	-1	0	2	0.88	3	3	3	0.5	1	0	0									
317	1187113369	462982527911663	784576494712382	3	1	1	1	3	3	3	0.5	1	0	0									
318	1187113369	462982527911663	45283762970939	4	1	1	1	3	3	3	0.5	1	0	0									
319	1187113369	462982527911663	555007026530802	5	1	0	1	3	3	3	0.5	1	0	0									
320	1187113369	462982527911663	304815035546198	3	1	0	0	3	3	3	0.5	1	0	0									
321	1187113369	462982527911663	536925636464730	4	1	0	0	3	3	3	0.5	1	0	0									
322	1187113369	462982527911663	709507573163137	5	1	0	0	3	3	3	0.5	1	0	0									
323	1187113369	462982527911663	100852562580258	3	1	0.78	2	3	3	3	0.5	1	0	0									
324	1187113369	462982527911663	80599478445947	4	1	0.22	2	3	3	3	0.5	1	0	0									
325	1187113369	462982527911663	885020477697253	5	1	0	2	3	3	3	0.5	1	0	0									
326	1162971104	462668166263029	973707052413374	-1	0	0	0	3	3	3	0.5	1	0	0									
327	1162971104	462668166263029	698137962957844	3	1	0.78	0.42	3	3	3	0.5	1	0	0									
328	1162971104	462668166263029	36058144411072	4	1	0.22	0.12	3	3	3	0.5	1	0	0									
329	1162971104	462668166263029	336532197427005	5	1	0	0.46	3	3	3	0.5	1	0	0									
330	1162971104	462668166263029	67977040773257	-1	0	0	2	3	3	3	0.5	1	0	0									
331	1162971104	462668166263029	783925866940990	-1	0	2	0.88	3	3	3	0.5	1	0	0									
332	1162971104	462668166263029	632011648966000	3	1	1	1	3	3	3	0.5	1	0	0									
333	1162971104	462668166263029	928394312970340	4	1	1	1	3	3	3	0.5	1	0	0									
334	1162971104	462668166263029	17694747773930	5	1	0	1	3	3	3	0.5	1	0	0									
335	1162971104	462668166263029	304703507106751	3	1	0	0	3	3	3	0.5	1	0	0									
336	1162971104	462668166263029	995098195737228	4	1	0	0	3	3	3	0.5	1	0	0									
337	1162971104	462668166263029	724044420756400	5	1	0	0	3	3	3	0.5	1	0	0									
338	1162971104	462668166263029	491539385402575	3	1	0.78	2	3	3	3	0.5	1	0	0									
339	1162971104	462668166263029	308407101081684	4	1	0.22	2	3	3	3	0.5	1	0	0									
340	1162971104	462668166263029	284576728008688	5	1	0	2	3	3	3	0.5	1	0	0									
341	2145218781	570033285301179	101090968120843	-1	0	0	0	3	3	3	0.5	1	0	0									
342	2145218781	570033285301179	439961175667122	3	1	0.78	0.42	3	3	3	0.5	1	0	0									
